Surname,Name,Country,Position,Club,Age,SquadNo,Games Played,MinsPlayed,Goals,GoalsConceded,YCards,RCards
Teemu,Pukki,FIN,Forward,Norwich,31,10,2,151,0,0,0,0
Joel,Pohjanpalo,FIN,Forward,Leverkusen,26,20,2,174,1,0,0,0
Lassi,Lappalainen,FIN,Forward,Montreal,22,21,1,15,0,0,0,0
Marcus,Forss,FIN,Forward,Brentford,21,26,1,6,0,0,0,0
Hugo,Lloris,FRA,Goalkeeper,Tottenham,34,1,1,90,0,1,0,0
Steve,Mandanda,FRA,Goalkeeper,Marseille,36,16,0,0,0,0,0,0
Mike,Maignan,FRA,Goalkeeper,Paris,25,23,0,0,0,0,0,0
Benjamin,Pavard,FRA,Defender,Bayern,25,2,1,90,0,0,0,0
Presnel,Kimpembe,FRA,Defender,Paris,25,3,1,90,0,0,0,0
Raphaël,Varane,FRA,Defender,Real Madrid,28,4,1,90,0,0,0,0
Clément,Lenglet,FRA,Defender,Barcelona,25,5,0,0,0,0,0,0
Kurt,Zouma,FRA,Defender,Chelsea,26,15,0,0,0,0,0,0
Lucas,Digne,FRA,Defender,Everton,27,18,0,0,0,0,0,0
Lucas,Hernández,FRA,Defender,Bayern,25,21,1,90,0,0,0,0
Léo,Dubois,FRA,Defender,Lyon,26,24,0,0,0,0,0,0
Jules,Koundé,FRA,Defender,Sevilla,22,25,0,0,0,0,0,0
Paul,Pogba,FRA,Midfielder,Man. United,28,6,1,90,0,0,0,0
Thomas,Lemar,FRA,Midfielder,Atlético,25,8,0,0,0,0,0,0
Corentin,Tolisso,FRA,Midfielder,Bayern,26,12,1,1,0,0,0,0
N'Golo,Kanté,FRA,Midfielder,Chelsea,30,13,1,90,0,0,0,0
Adrien,Rabiot,FRA,Midfielder,Juventus,26,14,1,89,0,0,0,0
Moussa,Sissoko,FRA,Midfielder,Tottenham,31,17,0,0,0,0,0,0
Kingsley,Coman,FRA,Midfielder,Bayern,25,20,0,0,0,0,0,0
Antoine,Griezmann,FRA,Forward,Barcelona,30,7,1,90,0,0,0,0
Olivier,Giroud,FRA,Forward,Chelsea,34,9,0,0,0,0,0,0
Kylian,Mbappé,FRA,Forward,Paris,22,10,1,90,0,0,0,0
Ousmane,Dembélé,FRA,Forward,Barcelona,24,11,1,1,0,0,0,0
Karim,Benzema,FRA,Forward,Real Madrid,33,19,1,89,0,0,0,0
Wissam,Ben Yedder,FRA,Forward,Monaco,30,22,0,0,0,0,0,0
Marcus,Thuram,FRA,Forward,Mönchengladbach,23,26,0,0,0,0,0,0
Manuel,Neuer,GER,Goalkeeper,Bayern,35,1,1,90,0,1,0,0
Bernd,Leno,GER,Goalkeeper,Arsenal,29,12,0,0,0,0,0,0
Kevin,Trapp,GER,Goalkeeper,Frankfurt,30,22,0,0,0,0,0,0
Antonio,Rüdiger,GER,Defender,Chelsea,28,2,1,90,0,0,0,0
Marcel,Halstenberg,GER,Defender,Leipzig,29,3,0,0,0,0,0,0
Matthias,Ginter,GER,Defender,Mönchengladbach,27,4,1,88,0,0,0,0
Mats,Hummels,GER,Defender,Dortmund,32,5,1,90,0,0,0,0
Niklas,Süle,GER,Defender,Bayern,25,15,0,0,0,0,0,0
Lukas,Klostermann,GER,Defender,Leipzig,25,16,0,0,0,0,0,0
Robin,Gosens,GER,Defender,Atalanta,26,20,1,88,0,0,0,0
Can,Emre,GER,Defender,Dortmund,27,23,1,2,0,0,0,0
Robin,Koch,GER,Defender,Leeds,24,24,0,0,0,0,0,0
Christian,Günter,GER,Defender,Freiburg,28,26,0,0,0,0,0,0
Joshua,Kimmich,GER,Midfielder,Bayern,26,6,1,90,0,0,1,0
Toni,Kroos,GER,Midfielder,Real Madrid,31,8,1,90,0,0,0,0
Serge,Gnabry,GER,Midfielder,Bayern,25,10,1,74,0,0,0,0
Jonas,Hofmann,GER,Midfielder,Mönchengladbach,28,13,0,0,0,0,0,0
Jamal,Musiala,GER,Midfielder,Bayern,18,14,0,0,0,0,0,0
